stock_code,stock_name,corp_code,corp_name,modify_date
002290,삼일기업공사,00127936,삼일기업공사,20221208
002310,아세아제지,00138729,아세아제지,20221221
002320,한진,00163512,한진,20250901
002350,넥센타이어,00173874,넥센타이어,20260327
002355,넥센타이어1우B,,,
002360,SH에너지화학,00136457,SH에너지화학,20260618
002380,KCC,00105271,케이씨씨,20240703
002390,한독,00161046,한독,20240701
002410,범양건영,00122694,범양건영,20230328
002420,세기상사,00133618,세기상사,20221201
002450,삼익악기,00127857,삼익악기,20260129
002460,HS화성,00174527,HS화성,20260227
002600,조흥,00149345,조흥,20240701
002620,제일파마홀딩스,00148443,제일파마홀딩스,20220222
002630,오리엔트바이오,00141626,오리엔트바이오,20260330
002680,한탑,00140566,한탑,20240701
002690,동일제강,00118451,동일제강,20260331
002700,신일전자,00173698,신일전자,20240904
002710,TCC스틸,00117300,TCC스틸,20260327
002720,국제약품,00104722,국제약품,20260325
002760,보락,00123107,보락,20221130
002780,진흥기업,00150828,진흥기업,20240328
002785,진흥기업우B,,,
002787,진흥기업2우B,,,
002790,아모레퍼시픽홀딩스,00154462,아모레퍼시픽홀딩스,20250425
002795,아모레퍼시픽홀딩스우,,,
00279K,아모레퍼시픽홀딩스3우C,,,
002800,신신제약,00136448,신신제약,20240701
002810,삼영무역,00127167,삼영무역,20240531
002820,SUN&L,00132211,SUN&L,20260504
002840,미원상사,00121932,미원상사,20260706
002870,신풍,00137368,신풍,20241008
002880,디와이에이,00149804,디와이에이,20260818
002900,TYM,00117230,TYM,20260402
002920,유성기업,00174004,유성기업,20230215
002960,한국쉘석유,00158149,한국쉘석유,20241125
002990,금호건설,00106313,금호건설,20231219
002995,금호건설우,,,
003000,부광약품,00123718,부광약품,20240701
003010,혜인,00165343,혜인,20230221
003030,세아제강지주,00124197,세아제강지주,20240327
003060,에이프로젠바이오로직스,00101044,에이프로젠바이오로직스,20250901
003070,코오롱글로벌,00152880,코오롱글로벌,20260401
003075,코오롱글로벌우,,,
003080,SB성보,00132725,SB성보,20250422
003090,대웅,00111810,대웅,20241025
0030R0,대신밸류리츠,01885222,대신밸류리츠,20250711
003100,선광,00131896,선광,20260327
003120,일성아이에스,00146214,일성아이에스,20260615
003160,디아이,00118275,디아이,20221205
003200,일신방직,00146269,일신방직,20221202
003220,대원제약,00111999,대원제약,20250102
003230,삼양식품,00126955,삼양식품,20260126
003240,태광산업,00153393,태광산업,20260402
003280,흥아해운,00167208,흥아해운,20231010
003300,한일홀딩스,00162993,한일홀딩스,20230112
003310,대주산업,00112457,대주산업,20260320
003350,한국화장품제조,00160621,한국화장품제조,20221206
003380,하림지주,00148364,하림지주,20230220
003460,유화증권,00145190,유화증권,20250327
003465,유화증권우,,,
003470,유안타증권,00117601,유안타증권,20240401
003475,유안타증권우,,,
003480,한진중공업홀딩스,00163673,한진중공업홀딩스,20260306
003490,대한항공,00113526,대한항공,20260316
003495,대한항공우,,,
003520,영진약품,00141149,영진약품,20240701
003530,한화투자증권,00148610,한화투자증권,20250902
003535,한화투자증권우,,,
003540,대신증권,00110893,대신증권,20260325
003545,대신증권우,,,
003547,대신증권2우B,,,
003550,LG,00120021,LG,20221220
003555,LG우,,,
003570,SNT다이내믹스,00134477,SNT다이내믹스,20260326
003580,HLB글로벌,00169048,HLB글로벌,20260316
003610,방림,00122348,방림,20220831
003620,KG모빌리티,00138242,KG모빌리티,20250604
003650,미창석유,00122056,미창석유공업,20251208
003670,포스코퓨처엠,00155276,포스코퓨처엠,20250325
003680,한성기업,00161860,한성기업,20230223
003690,코리안리,00113191,코리안리,20250414
003720,삼영,00127255,삼영,20230424
003780,진양산업,00150439,진양산업,20250314
0037T0,KB제32호스팩,01902990,KB제32호스팩,20250704
003800,에이스침대,00140052,에이스침대,20230215
003830,대한화섬,00113544,대한화섬,20250502
003850,보령,00123143,보령,20260318
003920,남양유업,00107598,남양유업,20251203
003925,남양유업우,,,
003960,사조대림,00109718,사조대림,20230221
0039P0,매드업,01379129,매드업,20260701
004000,롯데정밀화학,00157681,롯데정밀화학,20250321
004020,현대제철,00145880,현대제철,20251226
004060,SG세계물산,00133511,SG세계물산,20221209
004080,신흥,00173795,신흥,20260402
004090,한국석유,00157991,한국석유공업,20250331
004100,태양금속,00153755,태양금속공업,20221214
004105,태양금속우,,,
004140,동방,00115287,동방,20260330
004150,한솔홀딩스,00171636,한솔홀딩스,20240328
004170,신세계,00136378,신세계,20240322
0041B0,교보18호스팩,01910324,교보18호스팩,20250814
0041J0,엘에스스팩1호,01906552,엘에스스팩1호,20250722
0041L0,하나35호스팩,01906598,하나35호스팩,20250806
004250,NPC,00108038,엔피씨,20250401
004255,NPC우,,,
004270,남성,00172185,남성,20260310
004310,현대약품,00164706,현대약품,20240701
004360,세방,00133812,세방,20230214
004365,세방우,,,
004370,농심,00108241,농심,20260323
004380,삼익THK,00127802,삼익THK,20251202
004410,서울식품,00130879,서울식품공업,20260330
004415,서울식품우,,,
004430,송원산업,00134963,송원산업,20230215
004440,삼일씨엔에스,00109806,삼일씨엔에스,20260805
004450,삼화왕관,00129235,삼화왕관,20241128
004490,세방전지,00133858,세방전지,20260303
0044K0,삼성스팩10호,01910759,삼성스팩10호,20250821
004540,깨끗한나라,00113492,깨끗한나라,20260812
004545,깨끗한나라우,,,
004560,현대비앤지스틸,00125743,현대비앤지스틸,20250325
004590,한국가구,00156442,한국가구,20240502
004650,창해에탄올,00123523,창해에탄올,20240327
004690,삼천리,00128555,삼천리,20260325
004700,조광피혁,00148939,조광피혁,20220221
004710,한솔테크닉스,00157399,한솔테크닉스,20240909
004720,팜젠사이언스,00135050,팜젠사이언스,20260401
004770,써니전자,00138057,써니전자,20240222
004780,대륙제관,00109587,대륙제관,20221212
004800,효성,00117188,효성,20250325
004830,덕성,00114093,덕성,20221109
004835,덕성우,,,
004840,DRB동일,00118266,DRB동일,20260330
004870,티웨이홀딩스,00109514,티웨이홀딩스,20260608
004890,동일산업,00172936,동일산업,20260327
004910,조광페인트,00148920,조광페인트,20221208
004920,씨아이테크,00127158,씨아이테크,20240503
004960,한신공영,00162063,한신공영,20251205
004970,신라교역,00135962,신라교역,20231114
004980,성신양회,00132804,성신양회,20230116
004985,성신양회우,,,
004990,롯데지주,00120562,롯데지주,20251223
00499K,롯데지주우,,,
005010,휴스틸,00156488,휴스틸,20250327
005030,부산주공,00124151,부산주공,20221213
005070,코스모신소재,00129989,코스모신소재,20260515
005090,SGC에너지,00125150,SGC에너지,20240422
005110,한창,00163716,한창,20260309
005160,동국산업,00172680,동국산업,20240802
005180,빙그레,00124726,빙그레,20250623
005250,녹십자홀딩스,00108135,녹십자홀딩스,20260423
005257,녹십자홀딩스2우,,,
005290,동진쎄미켐,00118804,동진쎄미켐,20260303
005300,롯데칠성,00120571,롯데칠성음료,20250326
005305,롯데칠성우,,,
005320,온타이드,00168331,온타이드,20260513
005360,모나미,00121288,모나미,20260401
005380,현대차,00164742,현대자동차,20260331
005385,현대차우,,,
005387,현대차2우B,,,
005389,현대차3우B,,,
005420,코스모화학,00160302,코스모화학,20260319
005430,한국공항,00156691,한국공항,20241122
005440,현대지에프홀딩스,00105280,현대지에프홀딩스,20260318
005490,POSCO홀딩스,00155319,POSCO홀딩스,20250321
0054V0,엔에이치스팩32호,01931585,엔에이치스팩32호,20260309
005500,삼진제약,00128412,삼진제약,20250324
005610,삼립,00125530,삼립,20260423
005670,푸드웰,00165103,푸드웰,20230329
005680,삼영전자,00127200,삼영전자공업,20260312
005690,파미셀,00145163,파미셀,20260504
005710,대원산업,00111874,대원산업,20260323
005720,넥센,00167192,넥센,20250327
005725,넥센우,,,
005740,크라운해태홀딩스,00153126,크라운해태홀딩스,20230215
005745,크라운해태홀딩스우,,,
005750,대림바스,00109754,대림바스,20250411
005800,신영와코루,00136624,신영와코루,20230223
005810,풍산홀딩스,00155531,풍산홀딩스,20260313
005820,원림,00143794,원림,20220225
005830,DB손해보험,00159102,DB손해보험,20230110
005850,에스엘,00125521,에스엘,20250327
005860,한일사료,00162911,한일사료,20260305
005870,휴니드,00111421,휴니드테크놀러지스,20260702
005880,대한해운,00113535,대한해운,20260707
005930,삼성전자,00126380,삼성전자,20251201
005935,삼성전자우,,,
005940,NH투자증권,00120182,NH투자증권,20260701
005945,NH투자증권우,,,
005950,이수화학,00145552,이수화학,20230525
005960,동부건설,00115612,동부건설,20260219
005965,동부건설우,,,
005990,매일홀딩스,00120924,매일홀딩스,20260323
006040,동원산업,00118026,동원산업,20260806
006050,국영지앤엠,00104537,국영지앤엠,20250326
006060,화승인더,00166227,화승인더스트리,20250502
006090,사조오양,00141875,사조오양,20260327
006110,삼아알미늄,00126779,삼아알미늄,20240325
006120,SK디스커버리,00131832,SK디스커버리,20250327
006125,SK디스커버리우,,,
006140,피제이전자,00155735,피제이전자,20240223
006200,한국전자홀딩스,00159254,한국전자홀딩스,20220802
006220,제주은행,00148832,제주은행,20250206
006260,LS,00105952,LS,20230106
006280,녹십자,00129679,녹십자,20260423
006340,대원전선,00260392,대원전선,20260317
006345,대원전선우,,,
006360,GS건설,00120030,GS건설,20260325
006370,대구백화점,00108977,대구백화점,20221128
006380,카프로,00159810,카프로,20250904
006400,삼성SDI,00126362,삼성SDI,20260306
006405,삼성SDI우,,,
006490,프리티,00122825,프리티,20260810
006570,대림통상,00109824,대림통상,20260330
006620,동구바이오제약,00114686,동구바이오제약,20240701
006650,대한유화,00260383,대한유화,20221215
006660,삼성공조,00126201,삼성공조,20230526
006730,서부T&D,00130383,서부T&D,20260401
006740,블루산업개발,00141404,블루산업개발,20260327
006800,미래에셋증권,00111722,미래에셋증권,20231207
006805,미래에셋증권우,,,
00680K,미래에셋증권2우B,,,
006840,AK홀딩스,00125080,AK홀딩스,20260401
006880,신송홀딩스,00136402,신송홀딩스,20230222
006890,태경케미컬,00109161,태경케미컬,20221208
0068Y0,비엔케이제3호스팩,01933981,비엔케이제3호스팩,20251121
006910,보성파워텍,00267881,보성파워텍,20211206
006920,모헨즈,00163318,모헨즈,20230327
006980,우성,00142661,우성,20240701
007070,GS리테일,00140177,GS리테일,20250321
0070X0,에스테크엠,01921199,에스테크엠,20260427
007110,일신석재,00146296,일신석재,20260102
007120,미래아이앤지,00104786,미래아이앤지,20260401
007160,사조산업,00124799,사조산업,20250502
0071M0,삼성스팩11호,01935183,삼성스팩11호,20260304
007210,벽산,00122898,벽산,20221205
007280,한국특강,00124090,한국특강,20260401
0072Z0,KB제33호스팩,01934935,KB제33호스팩,20251022
007310,오뚜기,00141529,오뚜기,20251222
007330,푸른저축은행,00124805,푸른저축은행,20250425
007340,DN오토모티브,00116949,DN오토모티브,20230412
007370,진양제약,00150536,진양제약,20251010
007390,네이처셀,00117276,네이처셀,20260323
007460,에이프로젠,00152385,에이프로젠,20260504
007530,와이엠,00140858,와이엠,20230426
007540,샘표,00130091,샘표,20230221
007570,일양약품,00146454,일양약품,20251020
007575,일양약품우,,,
007590,동방아그로,00115384,동방아그로,20260219
007610,선도전기,00131939,선도전기,20240401
007660,이수페타시스,00107613,이수페타시스,20260309
007680,대원,00111838,대원,20260330
007690,국도화학,00104388,국도화학,20250131
007700,F&F홀딩스,00126487,F&F 홀딩스,20250414
007720,소노스퀘어,00104810,소노스퀘어,20250701
007770,한일화학,00267979,한일화학,20220224
007810,코리아써키트,00152686,코리아써키트,20230220
007815,코리아써우,,,
00781K,코리아써키트2우B,,,
007820,엠엑스로보틱스,00137915,엠엑스로보틱스,20260421
007860,서연,00163114,서연,20260327
007980,TP,00154329,TP,20260309
008040,사조동아원,00137252,사조동아원,20250321
008060,대덕,00109189,대덕,20251031
00806K,대덕1우,,,
008250,이건산업,00145446,이건산업,20260327
008260,NI스틸,00116301,NI스틸,20230327
008290,원풍물산,00144021,원풍물산,20260227
0082N0,카나프테라퓨틱스,01782183,카나프테라퓨틱스,20260319
008350,남선알미늄,00107224,남선알미늄,20250912
008355,남선알미우,,,
008370,원풍,00144012,원풍,20260219
008420,문배철강,00121570,문배철강,20230327
008470,부스타,00124276,부스타,20221116
008490,서흥,00131692,서흥,20221209
008600,윌비스,00104999,윌비스,20260811
008700,아남전자,00138516,아남전자,20240325
008730,율촌화학,00145260,율촌화학,20260303
008770,호텔신라,00165680,호텔신라,20260721
008775,호텔신라우,,,
008830,대동기어,00109310,대동기어,20250328
008870,금비,00168401,금비,20220816
0088D0,메리츠제1호스팩,01958111,메리츠제1호스팩,20251215
0088M0,메쥬,01780608,메쥬,20260326
008930,한미사이언스,00161426,한미사이언스,20251014
008970,KBI동양철관,00117629,KBI동양철관,20250912
009070,KCTC,00103042,케이씨티시,20220328
009140,경인전자,00102140,경인전자,20221202
009150,삼성전기,00126371,삼성전기,20230102
009155,삼성전기우,,,
009160,SIMPAC,00138260,SIMPAC,20230109
009180,한솔로지스틱스,00140946,한솔로지스틱스,20250103
009190,대양금속,00111111,대양금속,20260303
0091W0,신영스팩11호,01945339,신영스팩11호,20251124
009200,무림페이퍼,00136086,무림페이퍼,20240701
009240,한샘,00161693,한샘,20231017
009270,신원,00136864,신원,20230221
009290,광동제약,00103592,광동제약,20251205
009300,삼아제약,00126788,삼아제약,20240701
009310,참엔지니어링,00153621,참엔지니어링,20260327
009320,아진전자부품,00111689,아진전자부품,20241022
0093G0,미래에셋비전스팩8호,01947072,미래에셋비전스팩8호,20251127
009410,태영건설,00153861,태영건설,20260327
009415,태영건설우,,,
009420,한올바이오파마,00162586,한올바이오파마,20260327
009440,KC그린홀딩스,00159971,KC그린홀딩스,20240308
009450,경동나비엔,00101488,경동나비엔,20250327
009460,한창제지,00163761,한창제지,20250327
009470,삼화전기,00129271,삼화전기,20230216
009520,포스코엠텍,00128111,포스코엠텍,20250328
009540,HD한국조선해양,00164830,HD한국조선해양,20260401
009580,무림P&P,00119007,무림P&P,20240701
009620,삼보산업,00125822,삼보산업,20230403
009680,모토닉,00151128,모토닉,20240726
0096B0,삼성스팩12호,01946532,삼성스팩12호,20251128
0096D0,미래에셋비전스팩9호,01946596,미래에셋비전스팩9호,20251201
009730,이렘,00116426,이렘,20251202
009770,삼정펄프,00128227,삼정펄프,20231130
009780,엠에스씨,00121154,엠에스씨,20250331
0097F0,미래에셋비전스팩10호,01949469,미래에셋비전스팩10호,20251223
009810,플레이그램,00103130,플레이그램,20260220
009830,한화솔루션,00162461,한화솔루션,20250725
009835,한화솔루션우,,,
0098T0,교보19호스팩,01949140,교보19호스팩,20251212
009900,명신산업,00173078,명신산업,20230330
009970,영원무역홀딩스,00140964,영원무역홀딩스,20230223
0099W0,미래에셋비전스팩11호,01948220,미래에셋비전스팩11호,20251222
0099X0,IBKS제25호스팩,01949584,IBKS제25호스팩,20251219
010040,한국내화,00160205,한국내화,20230222
010060,OCI홀딩스,00148896,OCI홀딩스,20260327
010100,한국무브넥스,00160418,한국무브넥스,20230510
010120,LS ELECTRIC,00105855,엘에스일렉트릭,20250326
010130,고려아연,00102858,고려아연,20260326
010140,삼성중공업,00126478,삼성중공업,20240322
010170,대한광통신,00113261,대한광통신,20260612
0101C0,하나36호스팩,01949195,하나36호스팩,20251222
010240,흥국,00167031,흥국,20230223
010280,아이티센엔텍,00138303,아이티센엔텍,20260309
010400,우진아이엔에스,00143262,우진아이엔에스,20230210
010470,오리콤,00141671,오리콤,20240329
010580,에스엠벡셀,00147860,에스엠벡셀,20260227
0105P0,유진스팩12호,01954832,유진스팩12호,20251211
010640,진양폴리,00160375,진양폴리우레탄,20250312
010660,화천기계,00166500,화천기계,20240321
010690,화신,00166315,화신,20260325
010770,평화홀딩스,00155124,평화홀딩스,20250109
010780,아이에스동서,00115977,아이에스동서,20260327
010820,퍼스텍,00148522,퍼스텍,20230216
010950,S-Oil,00138279,S-Oil,20230510
010955,S-Oil우,,,
010960,삼호개발,00128980,삼호개발,20251124
011000,진원생명과학,00118521,진원생명과학,20260807
011040,경동제약,00101549,경동제약,20240701
011070,LG이노텍,00105961,LG이노텍,20240322
011080,형지I&C,00142713,형지I&C,20260318
011090,에넥스,00139764,에넥스,20221130
011150,CJ씨푸드,00129013,CJ씨푸드,20250106
011155,CJ씨푸드1우,,,
011170,롯데케미칼,00165413,롯데케미칼,20260323
011200,HMM,00164645,HMM,20260526
011210,현대위아,00106623,현대위아,20250811
011230,삼화전자,00129280,삼화전자공업,20221103
011280,태림포장,00153524,태림포장,20260102
011300,우성머티리얼스,00132868,우성머티리얼스,20260420
011320,유니크,00147152,유니크,20260402
011330,유니켐,00137207,유니켐,20260602
011370,서한,00131504,서한,20260303
011390,부산산업,00124027,부산산업,20260601
011420,갤럭시아에스엠,00129554,갤럭시아에스엠,20211213
011500,한농화성,00160861,한농화성,20260306
011560,세보엠이씨,00133876,세보엠이씨,20230222
0115H0,삼성스팩13호,01957909,삼성스팩13호,20260121
011690,와이투솔루션,00144720,와이투솔루션,20260211
011700,한신기계,00162072,한신기계공업,20241030
011760,현대코퍼레이션,00164812,현대코퍼레이션,20230216
011780,금호석유화학,00106368,금호석유화학,20230104
011785,금호석유화학우,,,
011790,SKC,00139889,SKC,20260327
0117P0,피스피스스튜디오,01755259,피스피스스튜디오,20260608
011810,STX,00138297,STX,20221206
011930,신성이엔지,00136271,신성이엔지,20240222
012030,DB,00163345,DB,20260314
0120G0,삼양바이오팜,01965333,삼양바이오팜,20251124
012160,영흥,00141477,영흥,20260401
012170,아센디오,00145437,아센디오,20260116
012200,계양전기,00102618,계양전기,20240701
012205,계양전기우,,,
012210,삼미금속,00125664,삼미금속,20251229
012280,영화금속,00141413,영화금속,20221205
012320,경동인베스트,00143527,경동인베스트,20230216
012330,현대모비스,00164788,현대모비스,20250312
012340,뉴인텍,00105040,뉴인텍,20230502
012450,한화에어로스페이스,00126566,한화에어로스페이스,20251212
012610,경인양행,00102113,경인양행,20230227
012620,원일특강,00143907,원일특강,20250326
012630,HDC,00164636,HDC,20260327
012690,모나리자,00173102,모나리자,20250702
0126Z0,삼성에피스홀딩스,01965324,삼성에피스홀딩스,20260108
012700,리드코프,00117708,리드코프,20230403
012750,에스원,00158501,에스원,20260320
012790,신일제약,00137058,신일제약,20240701
012800,대창,00112651,대창,20260327
012860,모베이스전자,00137234,모베이스전자,20240103
0129K0,신한제18호스팩,01963140,신한제18호스팩,20260506
013000,세우글로벌,00134176,세우글로벌,20260310
013030,하이록코리아,00165060,하이록코리아,20230223
0130D0,신한제17호스팩,01963520,신한제17호스팩,20260401
0130H0,엔에이치스팩33호,01965698,엔에이치스팩33호,20260327
013120,동원개발,00117966,동원개발,20250331
0131D0,키움히어로제2호스팩,01964246,키움히어로제2호스팩,20260423
0132G0,교보20호스팩,01985203,교보20호스팩,20260409
013310,아진산업,00139083,아진산업,20221202
013360,일성건설,00146232,일성건설,20260310
0134X0,대신밸런스제20호스팩,01976418,대신밸런스제20호스팩,20260605
013520,화승코퍼레이션,00166272,화승코퍼레이션,20220228
013570,디와이,00117179,디와이,20260703
013580,계룡건설,00102432,계룡건설산업,20240603
013700,까뮤이앤씨,00129420,까뮤이앤씨,20260327
013720,청보,00151605,청보,20260629
013810,스페코,00136165,스페코,20260306
013870,지엠비코리아,00156354,지엠비코리아,20230223
013890,지누스,00150633,지누스,20250321
013990,아가방컴퍼니,00138446,아가방컴퍼니,20221212
014100,메디앙스,00267854,메디앙스,20240502
014130,한익스프레스,00129509,한익스프레스,20240827
014160,대영포장,00111458,대영포장,20220405
014190,원익큐브,00128175,원익큐브,20260327
014280,금강공업,00105299,금강공업,20230131
014285,금강공업우,,,
014440,영보화학,00140779,영보화학,20240123
014470,부방,00243067,부방,20260331
014530,극동유화,00105156,극동유화,20220216
014570,고려제약,00103015,고려제약,20240701
014580,태경비케이,00122481,태경비케이,20250331
014620,성광벤드,00132318,성광벤드,20211207
014680,한솔케미칼,00140955,한솔케미칼,20251106
014710,사조씨푸드,00124780,사조씨푸드,20240321
014790,HL D&I,00161116,HL D&I,20240925
014820,동원시스템즈,00132637,동원시스템즈,20260327
014825,동원시스템즈우,,,
014830,유니드,00159786,유니드,20260320
014910,성문전자,00132628,성문전자,20221125
014915,성문전자우,,,
014940,오리엔탈정공,00141608,오리엔탈정공,20230222
014950,삼익제약,00127875,삼익제약,20260303
014970,삼륭물산,00125488,삼륭물산,20260731
014990,인디에프,00106881,인디에프,20260312
015020,이스타코,00134565,이스타코,20230403
015230,대창단조,00112679,대창단조,20230222
015260,에이엔피,00143314,에이엔피,20221209
015360,INVENI,00105101,INVENI,20260319
015590,DKME,00108746,DKME,20260518
0156T0,에이치엘지노믹스,00624244,에이치엘지노믹스,20260724
015710,코콤,00187725,코콤,20240401
015750,성우하이텍,00132992,성우하이텍,20240402
015760,한국전력,00159193,한국전력공사,20240416
015860,일진홀딩스,00146649,일진홀딩스,20220222
015890,태경산업,00153339,태경산업,20240402
016090,대현,00113614,대현,20240401
016100,리더스코스메틱,00180263,리더스코스메틱,20260304
016250,SGC E&C,00141246,SGC E&C,20240426
016360,삼성증권,00104856,삼성증권,20240322
016380,KG스틸,00115676,KG스틸,20260325
016450,한세예스24홀딩스,00161976,한세예스24홀딩스,20221212
0164H0,한국제16호스팩,01987779,한국제16호스팩,20260630
016580,환인제약,00166573,환인제약,20240701
016590,신대양제지,00135777,신대양제지,20260102
0165X0,메리츠제2호스팩,01989041,메리츠제2호스팩,20260619
016600,큐캐피탈,00267942,큐캐피탈,20260324
016610,DB증권,00115694,DB증권,20250604
016670,디모아,00125725,디모아,20260703
